*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 11, 2017; 16:24:41
                                                                                
*RUN   1        : SIM                       CRGRO046 0\000000    1              
 MODEL          : CRGRO046 - Dry bean                                           
 EXPERIMENT     : 0\000000 BN PALMIRA_ANALISIS SENSIBILIDAD                     
 DATA PATH      : D:\B\0\00000                                                  
 TREATMENT  1   : SIM                       CRGRO046                            
  
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                    0-5    5-15   15-25   25-35   35-50   50-65   65-80   80-99  99-122 122-209
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   RL10D    SNW0C   SNW1C
 1980 133    42    27    6.8      3  1.535    391    266      0    126    658    659      0     0.0  0.000      2      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.66   0.00   0.00      0      2  392.4   0.37   0.36    0.0   0.71    0.38    0.38    0.31    0.13    0.06    0.02    0.00    0.00    0.00    0.00       46      41
 1980 134    43    28    7.1      3  1.620    415    297      0    131    712    722      0     0.0  0.000      9      9  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.71   0.00   0.01      0      9  390.3   0.40   0.38    0.0   0.72    0.39    0.39    0.32    0.14    0.07    0.03    0.00    0.00    0.00    0.00       65      44
 1980 135    44    29    7.4      3  1.682    441    333      0    137    773    796      0     0.0  0.000     23     16  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.76   0.00   0.03      0     23  381.9   0.43   0.40    0.0   0.74    0.41    0.41    0.33    0.15    0.07    0.03    0.01    0.00    0.00    0.00       85      46
 1980 136    45    30    7.7      3  1.717    460    367      0    142    827    870      0     0.0  0.000     43     24  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.81   0.00   0.05      0     43  373.0   0.46   0.42    0.0   0.76    0.42    0.42    0.34    0.16    0.08    0.04    0.01    0.00    0.00    0.00      108      49
 1980 137    46    31    7.9      3  1.729    479    404      0    148    883    953      0     0.0  0.000     70     32  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.87   0.00   0.07      0     70  360.7   0.49   0.44    0.0   0.77    0.43    0.43    0.34    0.16    0.09    0.04    0.01    0.00    0.00    0.00      133      52
 1980 138    47    32    8.2      3  1.758    503    443      0    153    946   1050      0     0.0  0.000    104     41  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.87   0.00   0.10      0    104  349.5   0.52   0.46    0.0   0.79    0.44    0.44    0.35    0.17    0.09    0.04    0.01    0.00    0.00    0.00      147      55
 1980 139    48    33    8.5      5  1.785    526    481      0    157   1007   1152      0     0.0  0.000    145     50  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.85   0.00   0.13      0    145  339.3   0.55   0.48    0.0   0.81    0.45    0.45    0.36    0.17    0.09    0.04    0.02    0.00    0.00    0.00      157      59
 1980 140    49    34    8.8      5  1.801    545    518      0    160   1063   1256      8     0.0  0.000    193     60  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.83   0.00   0.15      0    193  330.2   0.58   0.50    0.0   0.82    0.46    0.46    0.36    0.18    0.10    0.05    0.02    0.00    0.00    0.00      167      62
 1980 141    50    35    9.1      5  1.810    564    553      3    164   1117   1365     29     9.7  0.002    248     70  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.81   1.13   0.18      0    248  321.1   0.61   0.52    0.0   0.84    0.46    0.46    0.37    0.18    0.10    0.05    0.02    0.00    0.00    0.00      178      65
 1980 142    51    36    9.1      5  1.806    573    579     14    165   1153   1468     52    26.8  0.010    315     79  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.78   4.45   0.21      0    315  314.9   0.64   0.54    0.0   0.86    0.46    0.46    0.37    0.18    0.10    0.05    0.02    0.00    0.00    0.00      189      69
 1980 143    52    37    9.1      5  1.792    579    602     34    165   1182   1573     79    42.9  0.022    392     89  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.76   8.69   0.25      0    392  309.3   0.67   0.56    0.0   0.87    0.46    0.46    0.37    0.19    0.11    0.05    0.02    0.00    0.00    0.00      201      72
