*EVALUATION : PASA1701BN PALMIRA_ANALISIS SENSIBILIDAD                                DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 11, 2017; 13:37:20

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM   EDAPS   EDAPM
  35 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    1925     -99    2506     -99     636     -99  0.3025     -99    4.30     -99    2938     -99    1010     -99    1.64     -99   0.655     -99   76.80     -99      74     -99      90     -99       4     -99    3.85     -99     396     -99      12     -99    5.79     -99    2.76     -99    0.35     -99      62     -99       5     -99
  36 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    1988     -99    2590     -99     669     -99  0.2971     -99    4.30     -99    3057     -99    1070     -99    1.67     -99   0.650     -99   76.79     -99      76     -99      93     -99       4     -99    3.84     -99     420     -99      13     -99    5.91     -99    2.77     -99    0.36     -99      62     -99       5     -99
  37 PASA1701BN     2  1 BN      24     -99      27     -99      35     -99      56     -99    2007     -99    2584     -99     629     -99  0.3193     -99    4.30     -99    3002     -99    1000     -99    1.62     -99   0.668     -99   77.68     -99      76     -99      91     -99       4     -99    3.80     -99     388     -99      12     -99    5.69     -99    2.77     -99    0.33     -99      63     -99       5     -99
  38 PASA1701BN     2  1 BN      24     -99      27     -99      35     -99      56     -99    2057     -99    2636     -99     655     -99  0.3141     -99    4.30     -99    3078     -99    1020     -99    1.65     -99   0.668     -99   78.05     -99      78     -99      94     -99       4     -99    3.82     -99     395     -99      12     -99    5.71     -99    2.76     -99    0.35     -99      63     -99       5     -99
  39 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2014     -99    2612     -99     683     -99  0.2948     -99    4.30     -99    3123     -99    1110     -99    1.67     -99   0.645     -99   77.12     -99      76     -99      94     -99       5     -99    3.79     -99     423     -99      13     -99    5.88     -99    2.79     -99    0.36     -99      62     -99       5     -99
  40 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2100     -99    2692     -99     686     -99  0.3059     -99    4.30     -99    3228     -99    1130     -99    1.76     -99   0.650     -99   78.01     -99      81     -99      98     -99       5     -99    3.85     -99     452     -99      14     -99    5.89     -99    2.79     -99    0.35     -99      62     -99       5     -99
  41 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    1936     -99    2513     -99     630     -99  0.3070     -99    4.30     -99    2990     -99    1050     -99    1.61     -99   0.647     -99   77.03     -99      76     -99      92     -99       4     -99    3.95     -99     394     -99      12     -99    5.77     -99    2.57     -99    0.35     -99      62     -99       5     -99
  42 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2007     -99    2609     -99     671     -99  0.2990     -99    4.30     -99    3066     -99    1060     -99    1.72     -99   0.655     -99   76.92     -99      77     -99      93     -99       4     -99    3.84     -99     413     -99      13     -99    5.79     -99    2.77     -99    0.35     -99      62     -99       5     -99
  43 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    1953     -99    2531     -99     644     -99  0.3033     -99    4.30     -99    2982     -99    1030     -99    1.62     -99   0.655     -99   77.16     -99      76     -99      91     -99       4     -99    3.88     -99     381     -99      12     -99    5.71     -99    2.70     -99    0.34     -99      62     -99       5     -99
  44 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2063     -99    2672     -99     683     -99  0.3021     -99    4.30     -99    3147     -99    1080     -99    1.71     -99   0.655     -99   77.19     -99      80     -99      97     -99       4     -99    3.89     -99     440     -99      14     -99    5.91     -99    2.69     -99    0.36     -99      62     -99       5     -99
